"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"402";"501378";"YES";"Rheims";2011;"France";"Epilepsia";"Factors determining response to antiepileptic drugs in randomized controlled trials. A systematic review andmeta-analysis.";58;"63";20;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"efficacy of antiepileptic drugs in adult refractory partial epilepsy";"Mean responder rate";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"responder rate (proportion of
patients with 50% or greater reduction in seizure frequency
during the treatment period as compared to baseline).";"NR";"Study";"58";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"similar baseline patients’ characteristics between trials";"Fixed-effect";"In the absence of a clear explanation for heterogeneity, fixed-effect models for relative risk were planned";"NA";"NR";"NR";"NA";"Yes";"Funnel plot";"NA";"Subset";"No";"Yes";"completer-based analylsis vs. LOCF?";"NA";"Funding source not reported";NA;NA;NA;"NR";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"403";"501379";"YES";"Ribeiro";2011;"Brazil";"International Journal of Cardiology";"Impact of statin dose on major cardiovascular events: A mixed treatment comparison meta-analysis involving more than 175,000 patients";39;"10";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split and lump doses";"cardiovascular prevention";"reduction of cardiovascular events";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"number of cardiovascular events";"Bayesian Hierarchical Model";"Arm";"37";"2";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR";"Both FE and RE";"MTC analyses were performed using both fixed (FE) and random effect (RE) models. Although the number of parameters in the RE models was higher than in the FE models, the posterior means of the residual deviance were always much lower, resulting in a lower DIC. The results shown are from RE models, with homogeneous between-trial variability. The goodness- of-fit of all MTC models was generally good, considering the residual deviance criteria.";"To analyze the data in this study, we used the MTC random effect model with homogeneous between-trial variability";"NR";"NR";"Yes";"No";"NA";"NA";"Subset";"No";"No";"NA";"MCT/CNPq and Brazilian Ministry of
Health";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;1;"""After removing comparisons with missing treatment effects or standard errors,\n  study '14' has a wrong number of comparisons. Please check data and\n  consider to remove study from network meta-analysis.""";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"405";"501381";"YES";"Roskell (1)";2010;"UK";"Pain Practice";"A meta-analysis of pain response in the treatment of fibromyalgia.";12;"10";10;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"efficacy for the treatment of fibromyalgia";"30% improvement in pain response";"Effectiveness";"Beneficial";"Binary";"Subjective";"risk ratio";"number with 30% improvement in pain response";"Bayesian Hierarchical Model";"Arm";"15";"1";"1";"0";"0";"Full Network";"6";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Both FE and RE";"No";"NR";"NR";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"Eli Lilly and Company";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"406";"501382";"YES";"Roskell (2)";2010;"UK";"Thromb Haemost";"Treatments for stroke prevention in atrial fibrillation: A network meta-analysis and indirect comparisons versus dabigatran etexilate";17;"11";11;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"efficacy of treatments for stroke prevention in atrial fibrillation";"ischemic stroke";"Effectiveness";"Harmful";"Binary";"Semi-objective";"risk ratio";"number of  ischemic stroke";"Meta regression";"Arm";"6";"6";"0";"0";"0";"Full Network";"3";"NR";"Unclear";"Unclear";"NR";"Both FE and RE";"Only random effects estimates were presented here because, in most cases, the fixed and random effects estimates were nearly identical.";"Unclear";"NA";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"Boehringer Ingelheim International GmbH (BI)";"Industry-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"407";"501383";"YES";"Roskell";2012;"UK";"CMRO";"Annualized relapse rate of first-line treatments for multiple sclerosis: a meta-analysis, including indirect comparisons versus fingolimod";14;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"relative effects of treatment in relapsing–remitting multiple sclerosis (RRMS)";"annualized relapse rate (ARR), defined as total number of relapses divided by the total person-time at risk for relapse";"Effectiveness";"Harmful";"Rate";"Subjective";"Rate Ratio";"annualized relapse rate";"Meta regression";"Arm";"12";"2";"0";"0";"0";"Full Network";"6 -  verify with analysis";"Informal comparison of NMA results with previously published results";"Unclear";"Unclear";"The distributions of the
patient and trial characteristics were reasonably similar
across the treatments";"Random effects";"to account for the response variables of patients within a given trial being correlated";"Unclear";"NR";"NR";"Yes";"No";"NA";"NA";"Subset";"NO";"No";"NA";"Novartis Pharmaceuticals US";"Industry-sponsored";NA;NA;NA;"Frequentist";"long";0;1;"""object 'metaNetw' not found""";NA;NA;NA;"(in some studies r bigger than n)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"408";"501384";"YES";"Inajara Rotta";2013;"Brazil";"Jama Dermatology";"Efficacy of topical antifungals in the treatment of dermatophytosis: a mixed-treatment comparison meta-analysis involving 14 treatments.";60;"NR";15;"Placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"Efficacy of topical antifungals used in dermatophytosis treatment";"mycologic cure at the end of treatment";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"number of cures obtained up to 7 days after therapy conclusion
";"Bayesian Hierarchical Model";"Arm";"58";"2";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"NR

";"Both FE and RE";"The goodness-of-fit of the models was measured through residual deviance and deviance information criteria,RE models had better fitting

";"Unclear";"NR";"NA";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"None";"Pharmaceutical Sciences Postgraduate Program, Federal University of Parana, Brazil";"Publicly-sponsored";"no data available";"no data available";"no data available";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"410";"501387";"YES";"Salliot";2010;"Canada";"Ann Rheum Dis";"Indirect comparisons of the efficacy of biological antirheumatic agents in rheumatoid arthritis in patients with an inadequate response to conventional disease-modifying antirheumatic drugs or to an anti-tumour necrosis factor agent: a meta-ana";15;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"ACR50 response rates at week 24 in patients with rheumatoid arthritis despite methotrexate";"at least 50% improvement according to the American College of Rheumatology criteria in the number of swollen and ten- der joints, and in three of the following five parameters: phy- sician global assessment of disease, patient global assessment";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"number achieving ACR50";"Adjusted indirect comparison (Bucher)";"Arm";"14";"1";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"The main patient characteristics were similar across trials";"Unclear";"No";"Unclear";"NA";"NR";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"411";"501388";"YES";"E.J. Samarasekera";2013;"UK";"British Journal of Dermatology";"Topical therapies for the treatment of plaque psoriasis: systematic review and network meta-analyses.";34;"14";14;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"Efficacy of topical treatments in chronic plaque psoriasis";"Clear or nearly clear status for trunk and limbs on either the Investigator's Assessment of Overall Global Improvement (IAGI) or dynamic Physician's Global Assessment (PGA)";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"Proportion of patients who had clear or nearly clear status";"Bayesian Hierarchical Model; Bucher method";"Arm";"29";"3";"2";"0";"0";"Full Network";"Unclear";"Loop-specific";"Yes";"Yes";"NR";"Random effects";"No";"Unclear";"NR";"NA";"Yes";"No";"NA";"Rankograms";"All";"No";"No";"the majority of the trials focused on achievement of remission, with very limited data on key outcomes of relevance to psoriasis such as relapse rates


";"National Institute for Health and Clinical Excellence, and National Institute for Health Research";"Industry-sponsored";"0.72";"0.47";"0.85";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"413";"501390";"YES";"Sciarretta";2010;"Italy";"Arch Intern Med";"Antihypertensive Treatment and Development of Heart Failure in Hypertension A Bayesian Network Meta-analysis of Studies in Patients With Hypertension and High Cardiovascular Risk";26;"NR";8;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"antihypertensive treatments for the prevention of heart failure";"incidence of heart failure";"Effectiveness";"Harmful";"Binary";"Semi-objective";"odds ratio";"numer with heart failure";"Bayesian Hierarchical Model";"Arm";"24";"2";"0";"0";"0";"Full Network";"13";"Lu and Ades";"Yes";"Yes";"NR";"Random effects";"No";"NR";"Non-informative Prior";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"414";"501391";"YES";"Scott";2013;"UK";"Diabetes, Obesity and Metabolism";"A network meta-analysis to compare glycaemic control in patients with type 2 diabetes treated with exenatide once weekly or liraglutide once daily in comparison with insulin glargine, exenatide twice daily, or placebo";22;"6";6;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - split doses";"relative efficacies of various injectable therapies for glycaemic control";"mean difference in HbA1c (%) vs. placebo";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"mean change in HbA1c from baseline";"Bayesian Hierarchical Model";"Arm";"18";"4";"0";"0";"0";"Full Network";"Unclear";"Node-splitting";"NA";"Yes";"Meta-regression";"Random effects";"No";"NR";"NR";"NR";"Yes";"No";"NA";"Probability of being the best";"Subset";"No";"No";"imputation";"Amylin Pharmaceuticals, Inc., and Eli Lilly and Company";"Industry-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"415";"501392";"YES";"Ke-Qing Shi";2013;"China";"European Journal of Clinical Investigation";"Secondary prophylaxis of variceal bleeding for cirrhotic patients: a multiple-treatments meta-analysis";51;"NR";12;"placebo";"2 (pharmacological vs placebo)";"No";"Unclear";"NA";"the relative effectiveness of competing interventions for the prevention of rebleeding";"variceal rebleeding";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"number of patients that had a variceal rebleeding";"Bayesian Hierarchical Model";"Arm";"61";"2";"2";"0";"0";"Full Network";"Unclear";"Node-splitting";"Yes";"Yes";"Most studies included in this study were very similar in terms of design and conduct";"Random effects";"No";"NR";"NR";"NA";"Yes";"No";"NA";"Probability of being the best";"All";"No";"No";"Not mentioned";"the Scientific Research Foundation of Wenzhou, Zhejiang Province, China (H20090014, Y20090269), Health Bureau of Zhejiang Province (2010KYB070), Research Foundation of Education Bureau of Zhejiang Province (Y201009942) and Project of New Century 551 Talent Nurturing in Wenzhou, Natural Science Foundation of Shandong Province (ZR2010HQ040).";"Publicly-sponsored";"no data available";"no data available";"no data available";NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"416";"501393";"YES";"Singh";2009;"USA";"CMAJ";"A network meta-analysis of randomized controlled trials of biologics for rheumatoid arthritis: a Cochrane overview.";27;"7";7;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"efficacy of biologics for rheumatoid arthritis";"ACR50";"Effectiveness";"Beneficial";"Binary";"Subjective";"odds ratio";"number achieving ACR50";"Meta regression";"Arm";"27";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"Eligibility criteria and patient populations were
similar across reviews";"Random effects";"No";"NR";"NR";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"US National Institutes of Health Center for Clinical and Translational Science Award, Parker Institute, Oak Foundation, Australian National Health and Medical Research Council Practitioner Fellowship";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"418";"501395";"YES";"Soares-Weiser";2007;"UK";"HTA";"A systematic review and economic model of the clinical effectiveness and cost-effectiveness of interventions for preventing relapse in people with bipolar disorder.";14;"8";8;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"pharmacological and/or psychosocial interventions for the prevention of relapse in people with bipolar disorder";"admission to hospital";"Effectiveness";"Harmful";"Binary";"Semi-objective";"odds ratio";"Number admitted to hospital";"Bayesian Hierarchical Model";"Arm";"10";"4";"0";"0";"0";"Full Network";"4";"NR";"Unclear";"Unclear";"NR";"Fixed-effect";"The assumption that the true treatment effect is common to all trials";"NA";"uninformative vague priors";"NR";"NA";"No";"NA";"Probability of being the best";"Subset";"No";"No";"NA";"HTA Programme";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"419";"501396";"YES";"Squires";2011;"UK";"HTA";"A systematic review and economic evaluation of cilostazol, naftidrofuryl oxalate, pentoxifylline and inositol nicotinate for the treatment of intermittent claudication in people with peripheral arterial disease";10;"7";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No";"clinical effectiveness";"maximal walking distance (MWD)";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"mean change in MWD from baseline";"Bayesian Hierarchical Model";"Arm";"7";"3";"0";"0";"0";"Full Network";"1";"NR";"Unclear";"Unclear";"NR";"Random effects";"used a random effects model (to allow for heterogeneity in treatment effect across studies)";"Unclear";"NR";"NR";"Unclear";"No";"NA";"NA";"All";"No";"No";"imputation";"The National Institute for Health Research Health Technology
Assessment programme";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;1;"Non-numeric value for argument 'sd'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"421";"501399";"YES";"Stowe";2010;"UK";"Movement Disorders";"Meta-analysis of the comparative efficacy and safety of adjuvant treatment to levodopa in later Parkinson's disease.";29;"4";4;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"efficacy";"off-time reduction to levodopa therapy in Parkinson's Disease patients with motor complications";"Effectiveness";"Harmful";"Continuous";"Semi-objective";"mean difference";"Average off-time reduction";"Adjusted indirect comparison (Bucher)";"Arm";"28";"1";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with previously published results";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NA";"NR";"Unclear";"No";"NA";"NA";"Subset";"No";"No";"NA";"NA";"Funding source not reported";NA;NA;NA;"Frequentist";"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"422";"501400";"YES";"Sultana";2008;"UK";"BMC";"Gemcitabine based combination chemotherapy in advanced pancreatic cancer-indirect comparison.";11;"5";5;"Gemcitabine";"1 (pharmacological vs pharmacological)";"No";"Unclear";"No";"treatment of advanced pancreatic cancer";"overall survival";"Effectiveness";"Harmful";"Survival";"Objective";"hazard ratio";"mortality";"Adjusted indirect comparison (Bucher)";"Study";"11";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"comparability between trials dealing with antimicrobial prophylaxis in colorectal
cancer";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"Cancer Research UK";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"425";"501403";"YES";"Terasawa";2012;"Japan";"Cancer Treatment Reviews";"Comparative efficacy of first-line therapies for advanced-stage chronic lymphocytic leukemia: A multiple-treatment meta-analysis";25;"10";10;"other";"1 (pharmacological vs pharmacological)";"No";"NR";"NA";"comparative effectiveness and safety of all clinically relevant treatments for CLL";"overall survival";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"mortality";"Bayesian Hierarchical Model";"Arm";"21";"4";"0";"0";"0";"Full Network";"4";"Loop-specific";"Yes";"Yes";"NR";"Unclear";"No";"Unclear";"NR";"NR";"Yes";"No";"NA";"Probability of being the best; SUCRA";"All";"No";"No";"NA";"United States Agency for Healthcare Research and Quality";"Publicly-sponsored";NA;NA;NA;"Bayesian";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"426";"501404";"YES";"Thijs";2008;"Belgium";"European Heart";"Network meta-analysis: simultaneous meta-analysis of common antiplatelet regimens after transient ischaemic attack or stroke.";23;"5";5;"placebo";"2 (pharmacological vs placebo)";"No";"No";"NA";"efficacy of antiplatelet";"prevention of serious vascular events after transient ischaemic attack or stroke";"Safety";"Harmful";"Binary";"Semi-objective";"odds ratio";"number of serious vascular events";"Meta regression";"Arm";"20";"3";"0";"0";"0";"Full Network";"3";"Lumley model";"Yes";"Yes";"NR";"Random effects";"Heterogeneity of the treatment effects can be captured by extending this model with a random trial effect, its variance reflecting the between-trial variance.";"Unclear";"DerSimonian and Laird approach";"NR";"Yes";"No";"NA";"NA";"All";"No";"No";"NA";"the Fund for Scientific Research Flanders";"Publicly-sponsored";NA;NA;NA;"Frequentist";"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
